name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Dominick Cruz,24,4,0,172.72,61.23,172.72,Orthodox,3.91,33.0,2.61,70.0,2.82,42.0,83.0,0.1,40
Jamie Mullarkey,17,6,0,182.88,70.31,187.96,Orthodox,4.46,47.0,4.41,54.0,2.46,34.0,76.0,0.1,30
Lauren Murphy,16,6,0,165.1,56.7,170.18,Orthodox,4.05,39.0,5.25,55.0,1.03,25.0,69.0,0.1,41
Jorge Rivera,20,9,0,185.42,83.91,185.42,Orthodox,3.16,48.0,2.64,54.0,0.84,50.0,63.0,0.1,53
Jonathan Martinez,19,4,0,172.72,61.23,177.8,Southpaw,4.64,50.0,3.76,58.0,0.44,41.0,69.0,0.1,30
Volkan Oezdemir,19,7,0,187.96,92.99,190.5,Orthodox,4.59,47.0,3.92,55.0,0.57,33.0,80.0,0.1,35
Marc-Andre Barriault,16,6,0,185.42,83.91,187.96,Orthodox,5.95,47.0,5.22,53.0,0.24,25.0,67.0,0.1,35
Jared Rosholt,14,4,0,187.96,120.2,190.5,Orthodox,2.08,46.0,1.52,59.0,1.83,41.0,66.0,0.1,38
Daniel Omielanczuk,19,8,1,182.88,112.04,187.96,Southpaw,3.09,57.0,3.29,47.0,0.56,26.0,68.0,0.1,42
Thiago Santos,22,11,0,187.96,92.99,193.04,Orthodox,3.72,48.0,2.57,53.0,0.88,33.0,65.0,0.1,41
Pannie Kianzad,17,7,0,170.18,61.23,167.64,Orthodox,4.87,49.0,3.75,53.0,0.35,30.0,71.0,0.1,33
Calvin Kattar,23,7,0,180.34,65.77,182.88,Orthodox,5.12,39.0,7.1,54.0,0.42,29.0,91.0,0.1,37
Shamil Abdurakhimov,20,8,0,190.5,106.59,193.04,Orthodox,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,43
Josh Emmett,18,4,0,167.64,65.77,177.8,Orthodox,4.07,36.0,4.66,61.0,0.92,37.0,46.0,0.1,40
Rafael Cavalcante,12,7,0,185.42,92.99,187.96,Orthodox,2.71,53.0,3.62,49.0,0.6,40.0,63.0,0.1,44
Dustin Ortiz,19,8,0,165.1,56.7,165.1,Orthodox,2.94,44.0,2.17,56.0,3.01,36.0,52.0,0.1,36
Drew Dober,27,12,0,172.72,70.31,177.8,Southpaw,4.58,40.0,4.46,51.0,0.68,17.0,56.0,0.1,36
Alexander Hernandez,14,7,0,175.26,65.77,182.88,Orthodox,4.63,41.0,4.9,56.0,1.2,31.0,60.0,0.1,32
Takeya Mizugaki,21,11,2,170.18,61.23,175.26,Orthodox,3.37,37.0,3.27,57.0,1.46,57.0,70.0,0.1,41
Jose Aldo,31,8,0,170.18,61.23,177.8,Orthodox,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,38
Darren Stewart,12,8,0,182.88,92.99,187.96,Orthodox,3.05,45.0,3.29,48.0,1.75,45.0,67.0,0.1,34
Walt Harris,13,10,0,195.58,113.4,195.58,Southpaw,3.05,39.0,3.33,54.0,0.29,28.0,70.0,0.1,41
Alexander Yakovlev,24,10,1,190.5,70.31,187.96,Southpaw,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1,40
Lina Lansberg,10,8,0,170.18,61.23,165.1,Orthodox,2.69,55.0,3.87,44.0,0.52,27.0,47.0,0.1,43
Ji Yeon Kim,9,7,2,170.18,56.7,182.88,Orthodox,5.37,36.0,5.41,56.0,0.0,0.0,50.0,0.1,35
Andre Ewell,17,9,0,172.72,65.77,190.5,Southpaw,4.28,40.0,4.87,51.0,0.36,75.0,72.0,0.1,37
Tarec Saffiedine,16,7,0,177.8,77.11,177.8,Switch,4.05,47.0,3.06,62.0,0.52,36.0,84.0,0.1,38
Shawn Jordan,19,8,0,182.88,117.93,190.5,Southpaw,2.87,50.0,3.3,47.0,1.97,38.0,76.0,0.1,40
Chris Gutierrez,20,5,2,175.26,61.23,170.18,Orthodox,5.04,57.0,2.73,65.0,0.34,37.0,71.0,0.1,33
Devin Clark,14,8,0,182.88,92.99,190.5,Orthodox,2.99,55.0,2.95,43.0,2.35,33.0,60.0,0.1,34
Yves Jabouin,20,11,0,170.18,61.23,172.72,Orthodox,3.06,41.0,2.93,62.0,1.94,60.0,82.0,0.1,45
Brandon Davis,14,10,0,177.8,61.23,182.88,Orthodox,4.68,35.0,4.62,58.0,0.74,42.0,57.0,0.1,34
Nicolas Dalby,23,4,1,180.34,77.11,187.96,Orthodox,4.03,43.0,3.43,52.0,1.11,30.0,60.0,0.1,40
Petr Yan,16,5,0,170.18,61.23,170.18,Switch,5.03,53.0,4.26,59.0,1.71,52.0,85.0,0.1,32
Bill Algeo,18,7,0,182.88,65.77,185.42,Switch,6.11,52.0,4.41,47.0,0.89,46.0,56.0,0.1,35
David Loiseau,23,11,0,182.88,83.91,193.04,Orthodox,1.59,44.0,3.64,43.0,0.43,42.0,36.0,0.1,45
Edson Barboza,24,11,0,180.34,65.77,190.5,Orthodox,4.18,45.0,4.34,57.0,0.48,50.0,75.0,0.1,39
Roy Nelson,22,14,0,182.88,119.29,185.42,Orthodox,2.18,36.0,4.79,46.0,1.14,27.0,65.0,0.1,48
Conor McGregor,22,6,0,175.26,70.31,187.96,Southpaw,5.32,49.0,4.66,54.0,0.67,55.0,66.0,0.1,36
Geoff Neal,15,5,0,180.34,77.11,190.5,Southpaw,5.22,50.0,5.6,58.0,0.51,44.0,87.0,0.1,34
Khalil Rountree Jr.,13,5,0,185.42,92.99,193.04,Southpaw,3.73,38.0,4.16,50.0,0.0,0.0,56.0,0.1,35
Junior Dos Santos,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,41
Krzysztof Jotko,24,6,0,185.42,83.91,195.58,Southpaw,2.98,42.0,2.23,57.0,1.33,39.0,82.0,0.1,35
Joanna Jedrzejczyk,16,5,0,167.64,52.16,165.1,Orthodox,6.28,48.0,3.25,62.0,0.27,62.0,80.0,0.1,37
Quinton Jackson,37,12,0,185.42,92.99,185.42,Orthodox,3.25,54.0,2.51,55.0,1.52,56.0,73.0,0.1,46
Sam Alvey,33,18,1,187.96,83.91,190.5,Southpaw,3.28,44.0,3.63,52.0,0.06,14.0,82.0,0.1,38
Angela Hill,16,13,0,160.02,52.16,162.56,Orthodox,5.44,50.0,4.94,61.0,0.73,34.0,75.0,0.1,40
Tim Sylvia,31,10,0,203.2,120.2,203.2,Orthodox,4.23,41.0,2.61,61.0,0.11,100.0,75.0,0.1,49
Jennifer Maia,21,10,1,162.56,56.7,162.56,Orthodox,4.35,38.0,4.52,55.0,0.42,27.0,58.0,0.1,36
Michael Johnson,22,19,0,177.8,70.31,185.42,Southpaw,4.28,39.0,3.91,58.0,0.46,38.0,80.0,0.1,38
Kamaru Usman,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,37
Vladimir Matyushenko,27,8,0,182.88,92.99,187.96,Orthodox,1.9,44.0,1.62,59.0,3.25,46.0,70.0,0.1,54
Jamie Pickett,13,10,0,187.96,83.91,203.2,Orthodox,2.84,48.0,3.92,49.0,1.44,40.0,69.0,0.1,36
Sean Santella,17,6,1,165.1,56.7,165.1,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Kristof Midoux,6,10,0,185.42,99.79,185.42,Orthodox,0.7,43.0,2.89,49.0,0.0,0.0,0.0,0.0,50
John Gunther,5,1,0,175.26,70.31,182.88,Orthodox,1.65,37.0,3.72,46.0,7.08,42.0,0.0,0.0,39
Anatoly Tokov,25,2,0,177.8,83.91,177.8,Orthodox,3.51,72.0,0.54,66.0,2.03,100.0,100.0,0.0,38
Tom Tuggle,0,3,0,187.96,113.4,187.96,Orthodox,0.0,0.0,2.14,0.0,32.14,100.0,0.0,0.0,38
Iony Razafiarison,2,1,0,160.02,65.77,160.02,Orthodox,1.2,42.0,1.4,53.0,2.0,50.0,75.0,0.0,38
Kiril Sidelnikov,11,4,0,180.34,104.33,180.34,Orthodox,2.87,28.0,4.48,61.0,0.0,0.0,0.0,0.0,38
Michael Byrnes,5,3,0,180.34,70.31,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Geraldo de Freitas,12,6,0,170.18,61.23,182.88,Orthodox,3.67,52.0,2.62,50.0,3.0,45.0,59.0,0.0,33
Buck Meredith,3,3,0,187.96,83.91,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Tony Bonello,16,3,1,187.96,83.91,187.96,Orthodox,0.62,33.0,12.62,10.0,0.0,0.0,0.0,0.0,38
Adam Khaliev,6,0,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
Dakota Cochrane,29,12,0,172.72,70.31,172.72,Orthodox,2.66,75.0,2.66,30.0,4.43,33.0,0.0,0.0,38
Donald Sanchez,31,17,0,177.8,65.77,177.8,Orthodox,0.58,50.0,1.16,55.0,0.0,0.0,50.0,0.0,38
Felipe dos Santos,7,1,0,170.18,56.7,177.8,Orthodox,6.6,32.0,7.47,38.0,0.0,0.0,0.0,0.0,24
Eric Schwartz,2,0,0,178.23432467873064,92.99,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Matt Lee,14,10,1,180.34,70.31,180.34,Orthodox,0.0,0.0,9.68,21.0,0.0,0.0,0.0,0.0,38
Antwain Britt,11,6,0,185.42,92.99,195.58,Orthodox,1.46,39.0,2.81,44.0,1.56,40.0,50.0,0.0,38
Mike Minniger,0,0,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Chris Barnett,23,8,0,175.26,120.2,190.5,Orthodox,4.41,48.0,5.87,40.0,0.0,0.0,33.0,0.0,38
Ray Seraille,8,9,0,190.5,111.58,190.5,Orthodox,5.29,27.0,17.65,41.0,0.0,0.0,0.0,0.0,38
Jason Sharp,3,3,0,178.23432467873064,92.99,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Adam Yandiev,9,1,0,175.26,83.91,187.96,Orthodox,0.18,8.0,6.14,36.0,0.0,0.0,25.0,0.0,36
JW Wright,1,0,0,178.23432467873064,58.97,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Andrew Valladerez,5,7,0,178.23432467873064,61.23,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Bahatebole Batebolati,8,1,1,180.34,70.31,180.34,Southpaw,4.34,47.0,4.62,64.0,2.04,100.0,100.0,0.0,27
Andre Mussi,11,5,0,190.5,109.77,190.5,Orthodox,0.0,0.0,10.59,35.0,0.0,0.0,0.0,0.0,38
Helena Crevar,0,0,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Al Matavao,8,3,0,172.72,92.99,170.18,Orthodox,7.84,46.0,6.7,58.0,0.0,0.0,0.0,0.0,31
Thomas Longacre,6,1,0,175.26,65.77,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Marcus Kowal,3,1,1,178.23432467873064,61.23,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Joey Gilbert,2,3,0,180.34,70.31,180.34,Orthodox,0.61,42.0,4.44,31.0,0.0,0.0,0.0,0.0,48
Lucrezia Ria,8,2,0,167.64,56.7,167.64,Orthodox,4.07,46.0,4.4,45.0,1.0,33.0,0.0,0.0,32
Sean Bassett,0,4,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Jonathan  Mix,7,4,0,182.88,76.2,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Chad Laprise,13,4,0,177.8,77.11,180.34,Orthodox,4.78,42.0,3.59,65.0,1.05,54.0,78.0,0.0,38
Quillan Salkilld,4,1,0,182.88,70.31,193.04,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
Reza Arianto,5,0,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Ryan Jimmo,19,5,0,185.42,92.99,185.42,Orthodox,3.12,66.0,2.77,46.0,0.45,28.0,87.0,0.0,43
Jean Silva,11,2,0,170.18,65.77,175.26,Orthodox,5.8,48.0,4.73,55.0,1.0,33.0,100.0,0.0,28
Larry Cureton,0,2,0,187.96,108.86,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Jansey Silva,7,2,0,187.96,83.91,170.18,Orthodox,0.46,40.0,2.32,33.0,0.0,0.0,0.0,0.0,29
Brad Tavares,20,9,0,185.42,83.91,187.96,Orthodox,3.38,43.0,3.03,56.0,0.81,26.0,82.0,0.0,37
Sumit Kumar,8,1,0,165.1,56.7,167.64,Orthodox,2.8,24.0,4.67,46.0,6.0,30.0,60.0,0.0,24
Yuhi Sano,0,4,0,180.34,110.22,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
Chris Brown,10,1,0,178.23432467873064,77.11,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Nick Fiore,6,2,0,177.8,70.31,182.88,Orthodox,2.83,46.0,7.93,42.0,2.5,45.0,71.0,0.0,27
Andy Anderson,0,1,0,167.64,108.86,167.64,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Fabiola Pidroni,5,0,0,178.23432467873064,52.16,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Satoshi Honma,4,6,3,185.42,92.99,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Eduardo Garagorri,13,2,0,175.26,65.77,177.8,Orthodox,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0,35
Bruno Oliveira,8,2,0,193.04,92.99,203.2,Orthodox,3.44,33.0,4.92,54.0,0.0,0.0,0.0,0.0,40
Rolles Gracie,8,4,0,193.04,109.77,193.04,Orthodox,2.3,32.0,3.38,55.0,2.3,10.0,0.0,0.0,46
Emily Fernandez,0,0,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Lacey Schuckman,11,10,0,160.02,56.7,160.02,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Ottman Azaitar,13,2,0,172.72,70.31,180.34,Switch,5.73,51.0,4.96,48.0,0.0,0.0,100.0,0.0,35
Mike Campbell,13,4,0,175.26,70.31,175.26,Southpaw,1.4,26.0,1.4,63.0,5.26,100.0,0.0,0.0,38
Chad Corvin,5,0,0,195.58,115.67,195.58,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Ray Perales,13,22,0,177.8,77.11,177.8,Orthodox,0.18,25.0,2.39,32.0,0.0,0.0,33.0,0.0,38
Anvar Boynazarov,3,1,0,175.26,65.77,175.26,Orthodox,0.0,0.0,7.83,29.0,0.0,0.0,0.0,0.0,36
Anthony Morrison,20,12,0,170.18,65.77,170.18,Orthodox,1.7,33.0,0.49,80.0,0.0,0.0,50.0,0.0,40
David Douglas,9,7,0,180.34,70.31,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Tyson Nam,21,14,1,170.18,56.7,172.72,Orthodox,3.87,33.0,4.97,65.0,0.0,0.0,87.0,0.0,41
Peter Danesoe,6,3,0,175.26,56.7,172.72,Orthodox,4.98,54.0,7.02,37.0,0.0,0.0,62.0,0.0,24
Hamdy Abdelwahab,5,0,0,187.96,119.75,182.88,Southpaw,3.87,52.0,3.13,59.0,3.0,75.0,0.0,0.0,32
Nick Meregali,0,0,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Juan Andres Luna,12,1,0,170.18,56.7,182.88,Orthodox,3.27,31.0,3.0,65.0,0.0,0.0,0.0,0.0,29
Leon Shahbazyan,7,2,0,193.04,77.11,187.96,Orthodox,6.33,52.0,8.18,32.0,1.46,50.0,0.0,0.0,29
Gokhan Saki,1,2,0,182.88,92.99,185.42,Orthodox,7.09,58.0,4.57,53.0,0.0,0.0,100.0,0.0,41
Justin Smitley,10,7,1,178.23432467873064,65.77,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Steve Ramirez,5,2,0,170.18,56.7,170.18,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Bill Cooper,2,1,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Scott Graham,3,1,0,193.04,83.91,193.04,Orthodox,0.91,42.0,2.27,28.0,0.0,0.0,0.0,0.0,38
Enson Inoue,12,8,0,177.8,95.25,177.8,Orthodox,1.7,63.0,1.88,30.0,0.0,0.0,33.0,0.0,57
Antonio McKee,29,6,2,172.72,70.31,172.72,Southpaw,1.37,45.0,0.74,74.0,1.47,33.0,57.0,0.0,55
Brandon Saling,8,6,0,177.8,77.11,177.8,Orthodox,2.88,40.0,6.08,20.0,0.0,0.0,57.0,0.0,38
Bertrand Amoussou,1,1,0,172.72,86.18,172.72,Orthodox,6.75,39.0,2.01,83.0,0.0,0.0,0.0,0.0,38
Razak Al-Hassan,13,5,0,187.96,92.99,187.96,Orthodox,3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,42
Julian Sanchez,0,1,0,190.5,136.08,190.5,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Israel Albuquerque,0,3,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.32,13.0,3.34,25.0,0.0,0.0,0.0,0.0,38
Helio Dipp,6,3,0,195.58,83.91,195.58,Orthodox,0.6,25.0,1.8,62.0,0.0,0.0,50.0,0.0,38
Brad Katona,15,2,0,167.64,61.23,162.56,Orthodox,4.8,51.0,4.57,50.0,1.0,20.0,50.0,0.0,33
Santo Curatolo,6,2,0,160.02,56.7,157.48,Southpaw,1.4,39.0,6.07,34.0,2.0,33.0,100.0,0.0,30
Houston Dorr,1,2,0,185.42,95.25,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Alan Omer,20,5,0,177.8,65.77,177.8,Orthodox,3.49,55.0,2.21,64.0,1.69,42.0,66.0,0.0,36
John Reedy,11,6,0,172.72,70.31,172.72,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Fernando Padilla,15,5,0,185.42,65.77,193.04,Orthodox,5.51,38.0,5.81,53.0,0.0,0.0,100.0,0.0,28
Brandon Jenkins,15,9,0,182.88,70.31,180.34,Switch,2.93,41.0,8.05,33.0,0.0,0.0,27.0,0.0,33
Muin Gafurov,18,6,0,170.18,61.23,172.72,Southpaw,2.98,41.0,2.95,48.0,2.4,26.0,62.0,0.0,28
Eric Martin,0,1,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Dashawn Boatwright,3,1,0,182.88,92.99,182.88,Orthodox,0.0,0.0,52.5,12.0,0.0,0.0,0.0,0.0,37
Shane Campbell,14,6,0,182.88,70.31,180.34,Orthodox,3.99,59.0,3.19,55.0,1.36,28.0,82.0,0.0,38
Justin Patterson,9,3,0,177.8,77.11,177.8,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Roger Carroll,16,14,0,177.8,77.11,177.8,Orthodox,7.62,61.0,10.48,43.0,0.0,0.0,100.0,0.0,38
Todd Moore,16,7,0,175.26,77.11,180.34,Southpaw,1.83,26.0,2.3,57.0,0.78,14.0,54.0,0.0,41
Jeremy Larsen,8,5,0,177.8,65.77,177.8,Orthodox,4.87,48.0,5.75,57.0,2.49,33.0,0.0,0.0,40
Zach Zane,10,7,0,170.18,65.77,175.26,Southpaw,0.87,56.0,6.67,20.0,0.0,0.0,26.0,0.0,35
Jared Chaffee,5,2,0,177.8,70.31,177.8,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Takafumi Otsuka,22,13,2,167.64,63.05,167.64,Orthodox,1.29,27.0,2.12,67.0,1.64,27.0,65.0,0.0,38
Anthony Taylor,1,3,0,170.18,65.77,170.18,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Adam Antolin,12,3,0,165.1,56.7,160.02,Orthodox,5.73,52.0,5.0,69.0,0.0,0.0,100.0,0.0,43
Todd Lally,2,1,0,170.18,65.77,170.18,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
James Wallace,5,2,0,177.8,70.31,175.26,Orthodox,0.52,28.0,3.41,35.0,0.0,0.0,0.0,0.0,32
CM Punk,0,1,0,185.42,77.11,185.42,Orthodox,1.1,23.0,4.87,40.0,0.87,11.0,0.0,0.0,46
Cleber Luciano,14,6,0,167.64,70.31,167.64,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Denis Tiuliulin,10,9,0,185.42,83.91,195.58,Orthodox,4.5,41.0,6.15,36.0,0.0,0.0,73.0,0.0,36
Daniel Marcos,15,0,0,170.18,61.23,175.26,Orthodox,4.88,46.0,3.7,69.0,0.4,50.0,89.0,0.0,32
Austen Lane,12,4,0,198.12,111.13,203.2,Orthodox,4.48,47.0,2.85,48.0,0.0,0.0,0.0,0.0,37
Carli Judice,3,1,0,170.18,56.7,172.72,Southpaw,11.2,57.0,12.27,54.0,0.0,0.0,50.0,0.0,26
Juan Mott,3,4,0,182.88,86.18,182.88,Switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Kevin Aguilar,17,5,0,170.18,70.31,185.42,Orthodox,3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0,36
Elise Reed,7,4,0,160.02,52.16,160.02,Orthodox,2.66,49.0,3.06,52.0,0.58,60.0,42.0,0.0,32
Rashad Evans,19,8,1,182.88,92.99,190.5,Orthodox,2.14,37.0,2.42,63.0,2.98,44.0,73.0,0.0,45
Lionel Lanham,5,1,0,178.23432467873064,92.99,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Mike de la Torre,14,7,0,180.34,65.77,180.34,Orthodox,3.21,39.0,4.75,51.0,0.36,16.0,83.0,0.0,38
Alberto Uda,12,2,0,190.5,83.91,190.5,Orthodox,1.79,52.0,3.49,45.0,2.83,50.0,66.0,0.0,40
Chase Gibson,9,5,0,177.8,70.31,182.88,Orthodox,3.13,54.0,6.4,52.0,0.0,0.0,0.0,0.0,35
Jose Augusto,6,2,0,190.5,113.85,190.5,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Joao Elias,17,4,1,160.02,56.7,162.56,Southpaw,0.4,50.0,6.47,20.0,0.0,0.0,50.0,0.0,30
Joe Giannetti,6,1,0,182.88,70.31,187.96,Southpaw,1.93,38.0,2.8,40.0,1.0,16.0,0.0,0.0,29
Marcos Bonilla,4,4,0,177.8,65.77,177.8,Orthodox,0.47,12.0,0.47,94.0,0.0,0.0,0.0,0.0,38
Tedd Williams,7,1,0,185.42,124.74,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Arman Ashimov,11,3,1,167.64,56.7,167.64,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Daniel Allen,5,0,0,182.88,70.31,190.5,Southpaw,7.6,51.0,5.87,53.0,2.0,66.0,100.0,0.0,32
Rana Rudra Pratap Singh,11,2,0,177.8,61.23,175.26,Orthodox,0.0,0.0,9.05,27.0,0.0,0.0,0.0,0.0,27
Cindy Dandois,8,3,0,170.18,61.23,170.18,Orthodox,3.13,32.0,3.4,58.0,5.0,55.0,0.0,0.0,40
Errol Zimmerman,0,1,0,190.5,83.91,190.5,Orthodox,2.95,42.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Kyle Sturgeon,0,1,0,190.5,102.06,190.5,Switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Jorge Gonzalez,16,4,0,187.96,92.99,193.04,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Philipe Lins,17,5,0,187.96,92.99,198.12,Orthodox,3.59,46.0,3.73,44.0,1.55,35.0,100.0,0.0,39
Yao Zhikui,2,4,0,165.1,56.7,162.56,Orthodox,1.44,21.0,2.82,48.0,0.66,16.0,58.0,0.0,34
Andrei Kopylov,6,11,0,187.96,120.2,187.96,Orthodox,0.33,66.0,4.31,40.0,0.0,0.0,0.0,0.0,59
Larissa Pacheco,10,2,0,170.18,61.23,170.18,Orthodox,1.21,19.0,4.14,55.0,0.0,0.0,0.0,0.0,30
Chad Sutton,2,2,0,185.42,83.91,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Anna Elmose,3,2,0,160.02,52.16,160.02,Orthodox,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,40
Merritt Warren,3,3,0,177.8,70.31,177.8,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Chris Yee,4,6,0,175.26,83.91,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Johnny Bedford,21,13,1,177.8,61.23,180.34,Orthodox,4.53,50.0,1.75,63.0,1.83,62.0,62.0,0.0,42
Josh Hendricks,19,11,0,187.96,106.59,187.96,Southpaw,0.98,20.0,11.8,29.0,0.0,0.0,0.0,0.0,48
Fabian Gonzalez,2,1,0,177.8,61.23,177.8,Orthodox,3.9,48.0,4.39,51.0,0.0,0.0,66.0,0.0,38
Leonardo Silva de Oliveira,12,4,0,187.96,83.91,187.96,Orthodox,1.07,40.0,0.54,50.0,24.11,50.0,0.0,0.0,32
Garrett Armfield,9,3,0,167.64,61.23,177.8,Orthodox,5.29,44.0,3.52,57.0,0.0,0.0,75.0,0.0,28
Joey Gomez,6,2,0,177.8,61.23,185.42,Orthodox,2.44,28.0,4.46,55.0,0.62,100.0,50.0,0.0,38
Takahiro Oba,5,7,1,172.72,90.72,172.72,Southpaw,0.23,25.0,1.82,69.0,0.0,0.0,0.0,0.0,38
Toby Misech,9,5,0,172.72,65.77,172.72,Southpaw,3.27,40.0,7.73,46.0,0.0,0.0,0.0,0.0,37
Manon Fiorot,11,1,0,170.18,56.7,165.1,Orthodox,6.05,39.0,3.31,69.0,1.36,46.0,91.0,0.0,35
Tai Bowden,1,1,0,180.34,104.33,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Zach Underwood,13,7,0,187.96,83.91,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Josh Bumgarner,6,4,0,185.42,77.11,185.42,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
Jonathan Santa Maria,3,4,0,175.26,56.7,175.26,Orthodox,3.6,51.0,2.53,74.0,0.0,0.0,80.0,0.0,38
Kyle Levinton,0,3,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
